balance_id,account_id,current_balance,available_balance,currency,last_updated,credit_limit
1,1,37103.29,32309.77,USD,2025-11-03 16:37:03.121564,0.0
2,2,30075.04,25997.58,USD,2025-11-03 16:37:03.121968,0.0
3,3,40605.78,39846.23,USD,2025-11-03 16:37:03.122363,0.0
4,4,28509.46,23086.23,USD,2025-11-03 16:37:03.122684,0.0
5,5,23038.11,22401.29,USD,2025-11-03 16:37:03.122944,19156.83
6,6,30972.24,26341.92,USD,2025-11-03 16:37:03.123268,12218.97
7,7,12369.67,12296.51,USD,2025-11-03 16:37:03.123624,0.0
8,8,3660.76,2993.97,USD,2025-11-03 16:37:03.123965,14193.78
9,9,39593.89,33973.38,USD,2025-11-03 16:37:03.124252,0.0
10,10,1213.82,1146.85,USD,2025-11-03 16:37:03.124585,0.0
11,11,34713.34,34560.28,USD,2025-11-03 16:37:03.124904,0.0
12,12,39840.74,37953.33,USD,2025-11-03 16:37:03.125198,0.0
13,13,10237.01,8603.24,USD,2025-11-03 16:37:03.125517,0.0
14,14,34675.55,29808.03,USD,2025-11-03 16:37:03.125847,0.0
15,15,8469.75,7719.7,USD,2025-11-03 16:37:03.126136,0.0
16,16,15753.82,14894.52,USD,2025-11-03 16:37:03.126415,0.0
17,17,42355.58,34186.2,USD,2025-11-03 16:37:03.126708,16274.73
18,18,35702.29,30523.76,USD,2025-11-03 16:37:03.127119,0.0
19,19,8646.76,8400.45,USD,2025-11-03 16:37:03.127424,0.0
20,20,17218.26,14463.1,USD,2025-11-03 16:37:03.127731,15674.0
21,21,19836.66,19184.61,USD,2025-11-03 16:37:03.128105,11118.47
22,22,15399.17,12453.75,USD,2025-11-03 16:37:03.128413,15437.79
23,23,45674.51,45503.68,USD,2025-11-03 16:37:03.128692,0.0
24,24,5276.61,4554.4,USD,2025-11-03 16:37:03.129002,0.0
25,25,3450.32,2952.77,USD,2025-11-03 16:37:03.129324,0.0
26,26,43441.38,41905.3,USD,2025-11-03 16:37:03.129619,23548.93
27,27,41218.72,40784.12,USD,2025-11-03 16:37:03.129942,0.0
28,28,29602.78,26542.11,USD,2025-11-03 16:37:03.130264,6767.98
29,29,35246.68,33177.26,USD,2025-11-03 16:37:03.130544,0.0
30,30,17877.77,17266.26,USD,2025-11-03 16:37:03.130859,0.0
31,31,40891.32,40120.36,USD,2025-11-03 16:37:03.131196,0.0
32,32,11921.21,9645.45,USD,2025-11-03 16:37:03.131558,0.0
33,33,12407.15,11612.22,USD,2025-11-03 16:37:03.131933,0.0
34,34,5087.59,4476.57,USD,2025-11-03 16:37:03.132227,0.0
35,35,8849.62,7699.36,USD,2025-11-03 16:37:03.132519,0.0
36,36,9240.84,8753.25,USD,2025-11-03 16:37:03.132795,0.0
37,37,26534.53,26080.56,USD,2025-11-03 16:37:03.133058,0.0
38,38,33022.27,30384.84,USD,2025-11-03 16:37:03.133370,0.0
39,39,39094.82,33795.34,USD,2025-11-03 16:37:03.133679,0.0
40,40,31484.01,30763.28,USD,2025-11-03 16:37:03.133990,0.0
