relationship_id,client_id,product_id,relationship_type,start_date,end_date,status
1,720,6,BENEFICIARY,2024-10-04,,ACTIVE
2,2934,5,OWNER,2024-10-22,,INACTIVE
3,2145,2,OWNER,2025-05-27,,PENDING
4,800,11,AUTHORIZED_USER,2025-11-02,,ACTIVE
5,1769,10,BENEFICIARY,2024-05-11,,PENDING
6,2681,12,AUTHORIZED_USER,2024-08-03,,ACTIVE
7,639,12,AUTHORIZED_USER,2025-09-30,,PENDING
8,2332,4,OWNER,2024-09-26,,ACTIVE
9,850,7,CO_OWNER,2024-08-25,,ACTIVE
10,2021,7,AUTHORIZED_USER,2022-08-13,,PENDING
11,14,2,CO_OWNER,2025-06-19,2027-08-17,PENDING
12,2552,6,OWNER,2024-09-09,,INACTIVE
13,388,6,OWNER,2025-10-27,2026-07-31,PENDING
14,1790,6,CO_OWNER,2022-09-08,2027-03-05,ACTIVE
15,2109,4,AUTHORIZED_USER,2025-02-11,,INACTIVE
16,2459,6,BENEFICIARY,2025-07-19,,ACTIVE
17,2255,9,OWNER,2025-09-24,,INACTIVE
18,2670,10,CO_OWNER,2025-08-29,,ACTIVE
19,1949,4,OWNER,2023-10-16,2026-07-11,PENDING
20,1015,12,AUTHORIZED_USER,2023-10-27,,INACTIVE
21,2707,4,BENEFICIARY,2025-07-22,2027-01-30,PENDING
22,2083,5,AUTHORIZED_USER,2024-10-10,,INACTIVE
23,176,2,OWNER,2025-09-04,,ACTIVE
24,1596,11,BENEFICIARY,2025-02-04,2026-04-30,INACTIVE
25,374,1,BENEFICIARY,2024-09-25,,INACTIVE
26,968,6,AUTHORIZED_USER,2025-06-08,,PENDING
27,1697,9,AUTHORIZED_USER,2025-02-23,,ACTIVE
28,1282,2,BENEFICIARY,2025-03-13,,ACTIVE
29,2680,12,BENEFICIARY,2025-01-24,2026-04-17,ACTIVE
30,801,10,CO_OWNER,2023-08-27,2027-06-22,PENDING
31,2473,2,AUTHORIZED_USER,2023-11-22,,INACTIVE
32,1316,10,BENEFICIARY,2024-08-03,2027-02-25,INACTIVE
33,1348,4,AUTHORIZED_USER,2024-09-27,,PENDING
34,1907,1,BENEFICIARY,2025-03-28,2027-06-22,INACTIVE
35,2688,6,AUTHORIZED_USER,2025-09-21,2026-06-21,PENDING
36,1730,3,BENEFICIARY,2025-10-05,,PENDING
37,923,10,BENEFICIARY,2025-07-20,,PENDING
38,2531,12,AUTHORIZED_USER,2025-10-13,,ACTIVE
39,2286,12,OWNER,2025-03-17,,PENDING
40,2665,11,AUTHORIZED_USER,2025-08-16,,PENDING
41,547,6,BENEFICIARY,2025-05-02,,PENDING
42,1989,11,AUTHORIZED_USER,2025-03-05,2026-02-25,PENDING
43,1043,10,BENEFICIARY,2025-03-13,2027-08-08,ACTIVE
44,1513,7,CO_OWNER,2023-06-04,2026-02-10,ACTIVE
45,556,2,AUTHORIZED_USER,2024-03-09,,INACTIVE
46,348,2,AUTHORIZED_USER,2023-02-18,,ACTIVE
47,995,4,AUTHORIZED_USER,2023-05-03,,ACTIVE
48,1757,9,AUTHORIZED_USER,2023-07-10,,ACTIVE
49,1392,5,OWNER,2025-09-18,2027-08-12,PENDING
50,477,2,OWNER,2025-09-12,,INACTIVE
51,2748,10,CO_OWNER,2023-01-16,,ACTIVE
52,2885,5,AUTHORIZED_USER,2024-11-25,,INACTIVE
53,815,6,CO_OWNER,2025-03-14,,PENDING
54,933,9,BENEFICIARY,2025-10-04,,ACTIVE
55,368,8,BENEFICIARY,2025-04-25,,INACTIVE
56,2183,1,BENEFICIARY,2023-11-14,,ACTIVE
57,507,6,CO_OWNER,2025-07-20,,INACTIVE
58,1517,7,OWNER,2021-08-03,,INACTIVE
59,30,2,BENEFICIARY,2025-09-26,,PENDING
