contract_id,client_id,product_id,contract_number,start_date,end_date,contract_amount,interest_rate,status,monthly_payment,created_date
1,1802,2,CNT00000001,2025-05-03,2033-06-04,29884,4.9,PENDING,122.03,2025-05-03
2,2972,10,CNT00000002,2022-07-05,2031-12-01,42537,7.51,ACTIVE,266.21,2022-07-05
3,142,12,CNT00000003,2024-09-29,2026-03-04,101871,5.29,CLOSED,449.08,2024-09-29
4,754,8,CNT00000004,2023-07-03,2027-12-14,97494,1.71,CLOSED,138.93,2023-07-03
5,2042,12,CNT00000005,2025-05-31,2027-05-05,114988,13.34,ACTIVE,1278.28,2025-05-31
6,1706,10,CNT00000006,2025-09-25,2027-05-12,29157,6.37,ACTIVE,154.78,2025-09-25
7,2334,1,CNT00000007,2023-07-30,2028-02-06,6488,8.58,SUSPENDED,46.39,2023-07-30
8,2874,9,CNT00000008,2025-08-22,2027-03-22,86865,3.46,ACTIVE,250.46,2025-08-22
9,704,6,CNT00000009,2025-01-06,2029-09-29,181158,13.48,SUSPENDED,2035.01,2025-01-06
10,1691,11,CNT00000010,2024-04-05,2033-03-19,11189,9.06,SUSPENDED,84.48,2024-04-05
11,2197,11,CNT00000011,2024-04-06,2031-01-19,1028,9.41,PENDING,8.06,2024-04-06
12,693,10,CNT00000012,2025-08-05,2031-04-06,43859,6.7,ACTIVE,244.88,2025-08-05
13,1199,3,CNT00000013,2025-03-01,2028-04-29,49992,5.02,SUSPENDED,209.13,2025-03-01
14,303,9,CNT00000014,2023-08-01,2024-07-17,23621,2.77,SUSPENDED,54.53,2023-08-01
15,1136,4,CNT00000015,2025-07-17,2033-05-13,57083,11.89,PENDING,565.6,2025-07-17
16,2474,1,CNT00000016,2025-10-05,2028-09-12,41735,7.47,ACTIVE,259.8,2025-10-05
17,1887,11,CNT00000017,2021-11-06,2026-05-03,18041,5.61,ACTIVE,84.34,2021-11-06
18,1156,11,CNT00000018,2025-10-26,2030-08-24,30656,5.68,ACTIVE,145.11,2025-10-26
19,662,11,CNT00000019,2025-09-03,2033-01-08,30443,0.88,ACTIVE,22.32,2025-09-03
20,2504,7,CNT00000020,2024-12-13,2026-06-19,96623,1.35,SUSPENDED,108.7,2024-12-13
