application_id,client_id,application_date,requested_amount,approved_amount,purpose,status,decision_date,interest_rate_proposed,reason_for_rejection,officer_id
1,2032,2024-10-18,26684,48686,EDUCATION,APPROVED,2024-11-15,7.9,,2
2,1121,2024-07-27,17391,25324,EDUCATION,REJECTED,2024-08-11,14.26,,4
3,2904,2024-07-23,31685,37678,HOME,APPROVED,2024-08-08,22.51,Miss garden beat fast magazine benefit.,49
4,778,2021-11-09,30087,0,CAR,APPROVED,2021-11-22,8.84,,71
5,296,2024-12-09,22208,0,EDUCATION,REJECTED,2025-01-01,5.43,Attention us determine beyond surface.,73
6,2559,2025-08-28,3246,0,BUSINESS,REJECTED,2025-09-15,14.32,Perform report less yard back treat.,78
7,1334,2025-08-07,45813,49186,PERSONAL,APPROVED,2025-08-24,24.69,,47
8,676,2023-07-20,15510,0,EDUCATION,APPROVED,2023-08-11,12.9,,62
9,2409,2023-06-26,8658,27709,MEDICAL,PENDING,2023-07-15,13.55,,38
10,534,2024-07-11,47507,14595,HOME,APPROVED,2024-07-17,22.43,,63
11,1584,2022-03-03,11442,0,CAR,PENDING,2022-03-07,11.79,,35
12,1036,2024-08-28,1475,25218,CAR,PENDING,2024-09-19,21.19,,31
13,1663,2025-05-15,35581,7625,CAR,REJECTED,2025-05-28,17.62,,37
14,465,2025-09-08,35303,22162,PERSONAL,CANCELLED,2025-09-25,8.89,,38
15,152,2021-12-06,48122,0,CAR,APPROVED,2021-12-31,9.96,Data model career buy list side.,93
16,1940,2025-04-17,2793,6326,EDUCATION,APPROVED,2025-04-23,14.86,Compare size make indicate cover.,86
17,2793,2024-05-21,7999,0,HOME,CANCELLED,2024-05-27,5.35,Arm the couple or out win.,21
18,620,2024-01-09,38063,22667,EDUCATION,REJECTED,2024-01-20,7.88,,65
19,1929,2024-11-10,9365,32232,EDUCATION,REJECTED,2024-11-19,18.05,,11
20,1321,2025-08-16,43936,39184,HOME,PENDING,2025-09-15,18.1,,93
21,364,2021-09-06,36559,10713,EDUCATION,PENDING,2021-09-28,8.97,,44
