loan_id,contract_id,loan_amount,outstanding_balance,interest_rate,term_months,remaining_months,next_payment_date,next_payment_amount,delinquency_status,collateral_value,loan_to_value_ratio
1,3,101871,83848.89,5.29,88,12,2025-11-08,449.08,DELINQUENT_30,132820.05,0.74
2,5,114988,87485.41,13.34,66,13,2025-11-25,1278.28,DELINQUENT_90+,165824.65,0.78
3,9,181158,78001.08,13.48,206,3,2025-11-06,2035.01,DELINQUENT_30,240934.28,0.87
4,15,57083,31188.32,11.89,29,26,2025-11-09,565.6,DELINQUENT_30,63081.84,0.69
5,22,7736,3247.76,7.18,28,4,2025-11-29,46.29,DELINQUENT_30,11284.67,0.84
6,24,183491,145449.4,11.42,321,22,2025-11-27,1746.22,DELINQUENT_90+,220990.16,0.75
7,25,198491,89100.84,6.33,56,31,2025-11-21,1047.04,CURRENT,265929.15,0.66
8,26,190051,125255.6,7.87,167,60,2025-11-24,1246.42,CURRENT,238705.17,0.71
9,29,72988,41276.05,11.98,89,26,2025-11-17,728.66,DELINQUENT_30,89146.32,0.84
10,32,158412,140999.88,8.86,258,27,2025-11-17,1169.61,DELINQUENT_90+,228346.07,0.78
11,38,127485,32553.64,10.87,260,48,2025-11-29,1154.8,DELINQUENT_60,189237.94,0.88
12,39,104066,40060.63,11.58,285,44,2025-11-05,1004.24,DELINQUENT_60,133234.3,0.83
13,44,10701,5423.2,9.39,252,22,2025-11-16,83.74,CURRENT,13037.47,0.83
14,45,155985,56250.23,11.94,60,51,2025-11-23,1552.05,DELINQUENT_60,208547.55,0.83
15,48,15519,7732.68,14.71,155,22,2025-11-24,190.24,DELINQUENT_30,19724.38,0.8
16,61,149134,34016.11,11.87,169,42,2025-11-07,1475.18,DELINQUENT_60,174227.12,0.86
17,66,108245,61143.9,10.34,163,13,2025-11-04,932.71,DELINQUENT_60,161867.44,0.77
18,69,99969,18604.72,8.4,282,24,2025-11-19,699.78,DELINQUENT_60,147204.25,0.84
19,72,60373,33378.32,8.02,292,20,2025-11-27,403.49,CURRENT,85995.01,0.74
20,73,105680,59949.23,11.54,64,38,2025-11-26,1016.29,DELINQUENT_60,158269.68,0.64
21,74,79701,28881.92,8.11,161,60,2025-11-07,538.65,CURRENT,110274.31,0.69
22,77,26663,5057.36,8.46,141,7,2025-11-15,187.97,DELINQUENT_30,35613.78,0.81
23,85,144385,113570.86,12.6,168,27,2025-11-10,1516.04,DELINQUENT_90+,161625.06,0.75
24,90,184932,129560.23,8.69,360,8,2025-11-03,1339.22,CURRENT,231111.39,0.76
25,93,9592,2732.25,9.47,85,57,2025-11-13,75.7,DELINQUENT_90+,13567.76,0.72
26,94,14336,5709.71,10.96,269,22,2025-11-14,130.94,DELINQUENT_90+,20122.51,0.68
27,95,14597,9072.66,10.31,248,37,2025-11-08,125.41,DELINQUENT_60,21366.04,0.7
28,102,139383,60335.02,14.8,102,46,2025-11-16,1719.06,DELINQUENT_60,193725.65,0.61
29,108,17800,13551.48,8.74,217,18,2025-11-13,129.64,DELINQUENT_60,26424.05,0.61
30,111,182788,149082.01,7.85,107,54,2025-11-21,1195.74,DELINQUENT_60,228167.1,0.72
31,113,39017,34496.03,7.75,299,49,2025-11-30,251.98,DELINQUENT_90+,54265.53,0.82
32,118,106984,29793.97,9.76,188,32,2025-11-20,870.14,CURRENT,142563.13,0.79
33,119,94285,80921.84,8.2,19,42,2025-11-25,644.28,DELINQUENT_90+,120165.74,0.89
34,122,110627,59918.38,5.32,294,53,2025-11-10,490.45,DELINQUENT_60,130179.95,0.75
35,123,132543,92408.97,10.61,341,15,2025-11-25,1171.9,CURRENT,173566.62,0.78
36,128,11136,5016.22,12.51,277,20,2025-12-01,116.09,DELINQUENT_30,16288.03,0.81
37,130,145926,78607.61,6.32,111,29,2025-11-19,768.54,DELINQUENT_60,178969.54,0.89
38,132,80851,20723.6,6.79,337,44,2025-11-16,457.48,CURRENT,111436.75,0.86
39,133,197534,28840.0,14.79,321,27,2025-11-17,2434.61,CURRENT,269308.37,0.79
40,138,46148,35815.13,14.24,327,45,2025-11-22,547.62,DELINQUENT_60,60106.74,0.78
41,139,80604,57378.9,5.03,260,7,2025-11-21,337.87,DELINQUENT_30,92415.97,0.77
42,140,126640,106038.53,11.56,325,35,2025-11-19,1219.97,DELINQUENT_30,143730.61,0.62
43,141,157084,110983.36,11.53,347,21,2025-11-04,1509.32,DELINQUENT_90+,186572.43,0.83
44,147,162638,96309.11,13.84,141,26,2025-11-28,1875.76,CURRENT,193090.59,0.88
45,151,39773,19648.49,7.93,174,57,2025-11-13,262.83,DELINQUENT_60,53501.71,0.68
46,154,51367,34873.17,14.73,342,12,2025-11-23,630.53,CURRENT,64859.86,0.81
47,155,91837,66013.12,13.72,97,60,2025-11-28,1050.0,DELINQUENT_90+,109224.33,0.81
48,158,128262,37498.48,13.62,302,23,2025-12-01,1455.77,DELINQUENT_30,174872.58,0.63
49,163,109708,96560.86,12.17,63,28,2025-11-21,1112.62,DELINQUENT_30,160262.18,0.68
50,167,68718,37800.9,12.96,33,1,2025-11-06,742.15,CURRENT,89697.9,0.86
51,168,30460,5264.25,8.3,82,25,2025-11-13,210.68,CURRENT,40471.09,0.73
52,169,190881,137145.93,9.92,79,16,2025-11-08,1577.95,DELINQUENT_30,247935.23,0.84
53,170,73157,39992.65,8.42,184,56,2025-11-07,513.32,DELINQUENT_90+,89656.5,0.85
54,171,123063,36403.4,12.0,291,51,2025-11-26,1230.63,DELINQUENT_30,157307.31,0.66
55,174,100085,75385.88,12.14,139,40,2025-11-18,1012.53,DELINQUENT_90+,144148.07,0.74
56,177,199965,127306.27,13.05,92,16,2025-11-20,2174.62,CURRENT,230577.25,0.7
57,178,164239,103435.91,7.92,244,10,2025-11-06,1083.98,DELINQUENT_30,235165.48,0.88
58,179,171923,88544.94,7.28,106,38,2025-11-26,1043.0,DELINQUENT_30,206488.63,0.88
59,180,84418,32888.26,6.48,130,43,2025-11-10,455.86,DELINQUENT_90+,120984.89,0.83
60,181,100462,51343.45,12.21,295,11,2025-11-11,1022.2,DELINQUENT_90+,130086.42,0.78
61,182,167125,124335.61,14.0,136,60,2025-11-26,1949.79,CURRENT,202727.24,0.85
62,184,103136,25931.47,8.78,201,51,2025-11-16,754.61,DELINQUENT_90+,141856.0,0.86
63,186,131877,52618.43,13.97,186,33,2025-11-16,1535.27,DELINQUENT_60,194279.43,0.75
64,192,169207,148855.52,5.99,220,30,2025-11-21,844.62,CURRENT,231173.3,0.81
65,193,22615,5905.53,7.71,104,2,2025-11-05,145.3,DELINQUENT_90+,26699.42,0.73
66,194,19673,6456.14,9.47,118,43,2025-11-23,155.25,DELINQUENT_90+,23535.06,0.84
67,195,72127,56513.95,12.97,146,59,2025-11-18,779.57,DELINQUENT_90+,95910.34,0.81
68,196,175605,117732.53,13.58,24,6,2025-11-15,1987.26,DELINQUENT_30,244234.66,0.75
69,199,54811,19289.26,12.33,308,54,2025-11-15,563.18,CURRENT,61061.0,0.83
70,214,52757,17857.66,9.88,12,59,2025-11-27,434.37,DELINQUENT_30,76193.03,0.64
71,215,128340,77361.93,9.96,55,40,2025-11-24,1065.22,DELINQUENT_90+,161150.16,0.83
72,221,181131,134832.27,6.55,339,28,2025-11-09,988.67,DELINQUENT_90+,236957.33,0.64
73,229,110927,24069.36,5.55,43,18,2025-11-10,513.04,DELINQUENT_30,147458.17,0.8
74,230,174290,113148.13,13.05,37,42,2025-11-04,1895.4,DELINQUENT_60,208999.89,0.81
75,233,11207,7472.32,8.22,81,47,2025-11-04,76.77,CURRENT,12505.98,0.87
76,238,177862,80009.71,8.9,191,27,2025-11-03,1319.14,DELINQUENT_30,207074.51,0.65
77,240,31591,13278.68,5.56,334,12,2025-11-25,146.37,CURRENT,41330.42,0.88
78,241,146006,28604.45,8.69,277,34,2025-11-06,1057.33,DELINQUENT_60,190233.95,0.87
79,244,159614,94561.39,7.99,231,23,2025-11-26,1062.76,CURRENT,207021.64,0.9
80,252,163234,75694.93,12.48,34,2,2025-11-17,1697.63,DELINQUENT_90+,212289.62,0.68
81,258,22592,4982.64,12.34,196,35,2025-11-08,232.32,CURRENT,31296.73,0.6
